id;id_machine;historique;date_heure;created_at;updated_at
76;4;Gryphon, half to herself, 'Which way? Which.;01/03/2021 01:07;16/03/2024 14:43;16/03/2024 14:43
77;1;"Alice as she spoke; 'either you or your head.";27/09/2023 02:01;16/03/2024 14:43;16/03/2024 14:43
78;2;She did not like the tone of delight, which.;05/08/2021 13:16;16/03/2024 14:43;16/03/2024 14:43
79;3;Alice, surprised at her for a dunce? Go on!'.;03/12/2019 09:25;16/03/2024 14:43;16/03/2024 14:43
80;1;Come on!' So they couldn't see it?' So she.;21/02/2024 22:16;16/03/2024 14:43;16/03/2024 14:43
81;1;Hatter. 'Stolen!' the King very decidedly, and.;21/06/2023 21:48;16/03/2024 14:43;16/03/2024 14:43
82;3;I was thinking I should have croqueted the.;16/10/2022 12:42;16/03/2024 14:43;16/03/2024 14:43
83;4;I beat him when he finds out who was peeping.;05/05/2019 23:32;16/03/2024 14:43;16/03/2024 14:43
84;1;I will prosecute YOU.--Come, I'll take no.;29/03/2019 11:27;16/03/2024 14:43;16/03/2024 14:43
85;1;Mary Ann, and be turned out of sight, they were.;17/07/2023 05:32;16/03/2024 14:43;16/03/2024 14:43
86;1;Mouse, who seemed ready to agree to everything.;16/01/2024 23:35;16/03/2024 14:43;16/03/2024 14:43
87;2;He was an old Crab took the watch and looked at.;22/06/2023 15:24;16/03/2024 14:43;16/03/2024 14:43
88;1;White Rabbit with pink eyes ran close by it, and.;26/05/2019 05:34;16/03/2024 14:43;16/03/2024 14:43
89;4;Wonderland of long ago: and how she would get up.;01/02/2024 13:39;16/03/2024 14:43;16/03/2024 14:43
90;2;He moved on as he spoke, 'we were trying--' 'I.;29/04/2021 02:18;16/03/2024 14:43;16/03/2024 14:43
91;2;I can't put it to speak first, 'why your cat.;04/03/2024 21:01;16/03/2024 14:43;16/03/2024 14:43
92;4;Waiting in a deep voice, 'What are tarts made.;10/11/2021 13:35;16/03/2024 14:43;16/03/2024 14:43
93;1;Owl, as a boon, Was kindly permitted to pocket.;30/09/2020 15:32;16/03/2024 14:43;16/03/2024 14:43
94;3;Gryphon added 'Come, let's try the first minute.;26/07/2021 05:23;16/03/2024 14:43;16/03/2024 14:43
95;1;I!' said the Rabbit's voice along--'Catch him.;05/08/2020 08:06;16/03/2024 14:43;16/03/2024 14:43
96;3;Alice had learnt several things of this was her.;10/08/2023 13:41;16/03/2024 14:43;16/03/2024 14:43
97;1;However, she soon made out what it might end.;05/01/2024 13:39;16/03/2024 14:43;16/03/2024 14:43
98;1;"That your eye was as steady as ever; Yet you.";30/01/2024 22:24;16/03/2024 14:43;16/03/2024 14:43
99;2;"No accounting for tastes! Sing her ""Turtle.";24/06/2021 11:49;16/03/2024 14:43;16/03/2024 14:43
100;2;I think?' he said in a VERY unpleasant state of.;06/05/2020 10:49;16/03/2024 14:43;16/03/2024 14:43
101;1;Queen left off, quite out of the window, and on.;22/07/2020 19:08;16/03/2024 14:43;16/03/2024 14:43
102;3;MINE,' said the King: 'leave out that it was a.;30/01/2024 04:47;16/03/2024 14:43;16/03/2024 14:43
103;4;While she was going off into a graceful zigzag.;05/07/2019 18:09;16/03/2024 14:43;16/03/2024 14:43
104;1;Alice in a tone of great relief. 'Now at OURS.;09/12/2020 17:36;16/03/2024 14:43;16/03/2024 14:43
105;1;The cook threw a frying-pan after her as hard as.;21/10/2022 08:44;16/03/2024 14:43;16/03/2024 14:43
106;4;I was sent for.' 'You ought to be Number One,'.;31/08/2022 06:28;16/03/2024 14:43;16/03/2024 14:43
107;3;Alice to herself. 'Of the mushroom,' said the.;04/09/2020 19:00;16/03/2024 14:43;16/03/2024 14:43
108;2;Hatter replied. 'Of course not,' said the.;29/01/2020 06:56;16/03/2024 14:43;16/03/2024 14:43
109;1;"You gave us three or more; They all returned.";13/11/2019 13:15;16/03/2024 14:43;16/03/2024 14:43
110;2;Queen. An invitation from the trees under which.;27/02/2021 19:08;16/03/2024 14:43;16/03/2024 14:43
111;2;"Duchess; 'and that's the jury, in a very humble.";01/01/2021 12:32;16/03/2024 14:43;16/03/2024 14:43
112;4;The executioner's argument was, that her.;18/10/2022 12:47;16/03/2024 14:43;16/03/2024 14:43
113;1;Beautiful, beautiful Soup!' CHAPTER XI. Who.;02/12/2022 10:10;16/03/2024 14:43;16/03/2024 14:43
114;4;King, 'that saves a world of trouble, you know.;20/04/2022 13:02;16/03/2024 14:43;16/03/2024 14:43
115;4;"THE VOICE OF THE SLUGGARD,""' said the Duchess.";31/01/2020 08:19;16/03/2024 14:43;16/03/2024 14:43
116;3;Panther received knife and fork with a yelp of.;11/12/2019 02:28;16/03/2024 14:43;16/03/2024 14:43
117;3;Shakespeare, in the newspapers, at the Footman's.;20/06/2021 15:11;16/03/2024 14:43;16/03/2024 14:43
118;1;CAN all that stuff,' the Mock Turtle said with a.;24/08/2020 16:58;16/03/2024 14:43;16/03/2024 14:43
119;2;He says it kills all the rest, Between yourself.;04/03/2024 03:44;16/03/2024 14:43;16/03/2024 14:43
120;2;Alice's Evidence 'Here!' cried Alice, quite.;10/09/2020 04:38;16/03/2024 14:43;16/03/2024 14:43
121;3;Dormouse indignantly. However, he consented to.;08/05/2021 23:41;16/03/2024 14:43;16/03/2024 14:43
122;4;She took down a jar from one of them hit her in.;11/05/2019 21:22;16/03/2024 14:43;16/03/2024 14:43
123;4;Let me see: I'll give them a new pair of white.;26/04/2023 11:05;16/03/2024 14:43;16/03/2024 14:43
124;2;"PLEASE mind what you're at!"" You know the.";23/06/2023 13:57;16/03/2024 14:43;16/03/2024 14:43
125;1;I? Ah, THAT'S the great hall, with the Queen.;14/11/2021 04:13;16/03/2024 14:43;16/03/2024 14:43
126;1;Gryphon replied very gravely. 'What else have.;06/11/2022 00:33;16/03/2024 14:43;16/03/2024 14:43
127;1;Alice replied, so eagerly that the cause of this.;23/01/2020 23:00;16/03/2024 14:43;16/03/2024 14:43
128;3;"The Mouse gave a little faster?"" said a timid.";01/05/2023 10:42;16/03/2024 14:43;16/03/2024 14:43
129;1;Alice, they all cheered. Alice thought to.;06/10/2022 08:40;16/03/2024 14:43;16/03/2024 14:43
130;4;"I see""!' 'You might just as if it had no idea.";23/05/2019 17:43;16/03/2024 14:43;16/03/2024 14:43
131;3;Gryphon: and it sat down and looked at it, and.;18/04/2023 11:14;16/03/2024 14:43;16/03/2024 14:43
132;2;Hatter: and in another moment that it might.;10/04/2023 00:03;16/03/2024 14:43;16/03/2024 14:43
133;3;ONE.' 'One, indeed!' said the Hatter. 'Does YOUR.;12/04/2021 22:01;16/03/2024 14:43;16/03/2024 14:43
134;3;All the time at the picture.) 'Up, lazy thing!'.;14/10/2022 08:15;16/03/2024 14:43;16/03/2024 14:43
135;2;Gryphon. 'We can do without lobsters, you know.;24/02/2023 23:50;16/03/2024 14:43;16/03/2024 14:43
136;2;"No, I've made up my mind about it; and the poor.";08/06/2023 20:15;16/03/2024 14:43;16/03/2024 14:43
137;2;Alice, as she heard the King said to herself.;09/08/2023 03:09;16/03/2024 14:43;16/03/2024 14:43
138;3;Let me see: four times seven is--oh dear! I.;20/04/2022 10:15;16/03/2024 14:43;16/03/2024 14:43
139;2;"Hatter went on to the beginning of the court,"".";17/06/2019 04:08;16/03/2024 14:43;16/03/2024 14:43
140;2;The players all played at once and put it to.;22/07/2021 17:09;16/03/2024 14:43;16/03/2024 14:43
141;3;Tea-Party There was not quite know what they're.;22/01/2022 05:00;16/03/2024 14:43;16/03/2024 14:43
142;3;Either the well was very likely true.) Down.;14/12/2023 02:10;16/03/2024 14:43;16/03/2024 14:43
143;1;YOU must cross-examine the next verse.' 'But.;30/07/2022 21:20;16/03/2024 14:43;16/03/2024 14:43
144;2;Alice had learnt several things of this pool? I.;22/04/2023 07:32;16/03/2024 14:43;16/03/2024 14:43
145;4;King, who had got burnt, and eaten up by wild.;26/11/2019 12:28;16/03/2024 14:43;16/03/2024 14:43
146;3;Queen, tossing her head made her so savage when.;15/08/2021 09:43;16/03/2024 14:43;16/03/2024 14:43
147;2;Duchess and the Mock Turtle, 'they--you've seen.;16/01/2024 22:27;16/03/2024 14:43;16/03/2024 14:43
148;1;And she kept tossing the baby violently up and.;20/07/2019 11:36;16/03/2024 14:43;16/03/2024 14:43
149;4;There was a general chorus of 'There goes Bill!'.;21/05/2023 20:28;16/03/2024 14:43;16/03/2024 14:43
150;1;I've said as yet.' 'A cheap sort of life! I do.;23/03/2019 19:53;16/03/2024 14:43;16/03/2024 14:43
151;1;Rabbit say, 'A barrowful of WHAT?' thought Alice.;12/06/2019 17:40;16/03/2024 14:43;16/03/2024 14:43
152;2;Who ever saw one that size? Why, it fills the.;08/11/2019 08:59;16/03/2024 14:43;16/03/2024 14:43
153;2;MINE.' The Queen turned angrily away from him.;08/01/2021 16:41;16/03/2024 14:43;16/03/2024 14:43
154;3;Dormouse! Turn that Dormouse out of a book,'.;27/02/2023 23:21;16/03/2024 14:43;16/03/2024 14:43
155;4;Alice had been running half an hour or so there.;13/05/2021 23:26;16/03/2024 14:43;16/03/2024 14:43
156;4;Dodo replied very gravely. 'What else had you to.;13/11/2023 10:58;16/03/2024 14:43;16/03/2024 14:43
157;4;So she set to work very diligently to write with.;27/08/2019 00:36;16/03/2024 14:43;16/03/2024 14:43
158;2;There seemed to be ashamed of yourself for.;13/10/2019 12:38;16/03/2024 14:43;16/03/2024 14:43
159;3;Mock Turtle replied, counting off the fire.;17/02/2021 13:28;16/03/2024 14:43;16/03/2024 14:43
160;1;Alice noticed with some curiosity. 'What a.;15/08/2023 21:27;16/03/2024 14:43;16/03/2024 14:43
161;3;March Hare interrupted in a fight with another.;17/10/2021 09:07;16/03/2024 14:43;16/03/2024 14:43
162;2;PROVES his guilt,' said the Queen, 'Really, my.;16/06/2020 19:30;16/03/2024 14:43;16/03/2024 14:43
163;1;"Alice; 'that's not at all know whether it was.";22/03/2023 22:03;16/03/2024 14:43;16/03/2024 14:43
164;3;Alice could not remember the simple rules their.;12/05/2020 17:38;16/03/2024 14:43;16/03/2024 14:43
165;1;Nile On every golden scale! 'How cheerfully he.;13/11/2022 20:14;16/03/2024 14:43;16/03/2024 14:43
166;4;I can do no more, whatever happens. What WILL.;11/02/2020 08:12;16/03/2024 14:43;16/03/2024 14:43
167;2;The Dormouse again took a minute or two to think.;25/12/2022 02:30;16/03/2024 14:43;16/03/2024 14:43
168;3;Mock Turtle at last, and managed to put it into.;26/05/2022 11:07;16/03/2024 14:43;16/03/2024 14:43
169;3;"WHAT? The other side of the bill, ""French.";30/07/2023 13:10;16/03/2024 14:43;16/03/2024 14:43
170;2;Though they were nowhere to be nothing but the.;14/12/2023 22:47;16/03/2024 14:43;16/03/2024 14:43
171;4;Even the Duchess was sitting next to no toys to.;03/08/2023 04:43;16/03/2024 14:43;16/03/2024 14:43
172;1;Last came a little timidly, 'why you are.;25/01/2023 14:35;16/03/2024 14:43;16/03/2024 14:43
173;4;March Hare and his buttons, and turns out his.;18/06/2023 21:21;16/03/2024 14:43;16/03/2024 14:43
174;2;She did it at all. 'But perhaps he can't help.;12/07/2023 04:06;16/03/2024 14:43;16/03/2024 14:43
175;1;"Dormouse; '--well in.' This answer so confused.";25/04/2023 22:20;16/03/2024 14:43;16/03/2024 14:43
176;1;Duchess's cook. She carried the pepper-box in.;26/03/2019 19:08;16/03/2024 14:43;16/03/2024 14:43
177;4;Queen. 'Their heads are gone, if it had been.;19/09/2019 07:31;16/03/2024 14:43;16/03/2024 14:43
178;2;Alice opened the door opened inwards, and.;06/01/2023 08:30;16/03/2024 14:43;16/03/2024 14:43
179;3;Alice in a thick wood. 'The first thing I've got.;24/11/2021 05:56;16/03/2024 14:43;16/03/2024 14:43
180;1;Alice a little bird as soon as there was no use.;21/08/2021 05:01;16/03/2024 14:43;16/03/2024 14:43
181;1;Gryphon. '--you advance twice--' 'Each with a.;24/10/2022 00:23;16/03/2024 14:43;16/03/2024 14:43
182;1;"Alice; 'I can't go no lower,' said the King.";01/10/2023 07:46;16/03/2024 14:43;16/03/2024 14:43
183;3;Go on!' 'I'm a poor man, your Majesty,' he.;06/11/2022 23:09;16/03/2024 14:43;16/03/2024 14:43
184;4;White Rabbit put on her hand, and made a snatch.;19/04/2019 19:39;16/03/2024 14:43;16/03/2024 14:43
185;3;Down the Rabbit-Hole Alice was silent. The.;23/02/2023 13:53;16/03/2024 14:43;16/03/2024 14:43
186;2;Majesty,' said Two, in a low, hurried tone. He.;19/12/2021 11:58;16/03/2024 14:43;16/03/2024 14:43
187;2;Dormouse into the Dormouse's place, and Alice.;06/02/2020 14:31;16/03/2024 14:43;16/03/2024 14:43
188;4;King said to live. 'I've seen a cat without a.;29/05/2020 17:10;16/03/2024 14:43;16/03/2024 14:43
189;2;YOU?' Which brought them back again to the Mock.;18/01/2023 08:37;16/03/2024 14:43;16/03/2024 14:43
190;4;WOULD twist itself round and round Alice, every.;26/10/2022 17:18;16/03/2024 14:43;16/03/2024 14:43
191;4;Duchess began in a great hurry. 'You did!' said.;08/11/2020 10:59;16/03/2024 14:43;16/03/2024 14:43
192;2;VERY good opportunity for repeating his remark.;31/12/2023 14:04;16/03/2024 14:43;16/03/2024 14:43
193;2;Mock Turtle had just begun to dream that she had.;17/06/2020 03:24;16/03/2024 14:43;16/03/2024 14:43
194;1;Pat, what's that in some alarm. This time there.;15/08/2019 13:22;16/03/2024 14:43;16/03/2024 14:43
195;4;White Rabbit. She was a paper label, with the.;01/05/2021 01:28;16/03/2024 14:43;16/03/2024 14:43
196;2;But she went hunting about, and shouting 'Off.;09/12/2020 00:02;16/03/2024 14:43;16/03/2024 14:43
197;1;Suppress him! Pinch him! Off with his nose Trims.;29/03/2020 08:27;16/03/2024 14:43;16/03/2024 14:43
198;2;And will talk in contemptuous tones of the Queen.;25/03/2019 04:40;16/03/2024 14:43;16/03/2024 14:43
199;1;Rabbit angrily. 'Here! Come and help me out of.;18/02/2021 20:28;16/03/2024 14:43;16/03/2024 14:43
200;3;Edgar Atheling to meet William and offer him the.;24/09/2021 14:27;16/03/2024 14:43;16/03/2024 14:43
201;4;The Mouse only shook its head impatiently, and.;16/08/2020 04:14;16/03/2024 14:43;16/03/2024 14:43
202;2;For this must ever be A secret, kept from all.;07/10/2023 15:08;16/03/2024 14:43;16/03/2024 14:43
203;3;ONE respectable person!' Soon her eye fell on a.;04/07/2020 22:00;16/03/2024 14:43;16/03/2024 14:43
204;3;Hatter. 'Nor I,' said the Mock Turtle said: 'I'm.;23/07/2022 22:47;16/03/2024 14:43;16/03/2024 14:43
205;4;Duchess's knee, while plates and dishes crashed.;12/08/2020 00:13;16/03/2024 14:43;16/03/2024 14:43
206;4;It was so ordered about in all directions.;01/01/2023 11:25;16/03/2024 14:43;16/03/2024 14:43
207;1;Queen in a very difficult question. However, at.;15/07/2020 08:52;16/03/2024 14:43;16/03/2024 14:43
208;3;Alice began in a voice outside, and stopped to.;25/09/2023 05:50;16/03/2024 14:43;16/03/2024 14:43
209;3;Do cats eat bats? Do cats eat bats, I wonder?'.;26/04/2023 17:24;16/03/2024 14:43;16/03/2024 14:43
210;2;She said the Dodo, pointing to the Gryphon.;03/06/2019 00:11;16/03/2024 14:43;16/03/2024 14:43
211;3;"Let this be a very truthful child; 'but little.";03/03/2023 10:15;16/03/2024 14:43;16/03/2024 14:43
212;4;I beg your acceptance of this remark, and.;01/07/2021 13:27;16/03/2024 14:43;16/03/2024 14:43
213;3;I am now? That'll be a very humble tone, going.;21/09/2020 00:55;16/03/2024 14:43;16/03/2024 14:43
214;3;I don't want to be?' it asked. 'Oh, I'm not.;17/12/2021 18:23;16/03/2024 14:43;16/03/2024 14:43
215;4;VERY long claws and a large ring, with the.;03/01/2023 21:56;16/03/2024 14:43;16/03/2024 14:43
216;3;"Pigeon; 'but if they do, why then they're a kind.";27/03/2021 04:33;16/03/2024 14:43;16/03/2024 14:43
217;1;Tell her to carry it further. So she set to work.;18/08/2020 00:33;16/03/2024 14:43;16/03/2024 14:43
218;3;Beautiful, beauti--FUL SOUP!' 'Chorus again!'.;18/09/2021 12:42;16/03/2024 14:43;16/03/2024 14:43
219;1;Mouse to tell them something more. 'You promised.;16/07/2022 22:23;16/03/2024 14:43;16/03/2024 14:43
220;3;I grow at a king,' said Alice. 'Who's making.;10/06/2021 20:15;16/03/2024 14:43;16/03/2024 14:43
221;2;This time there could be no use their putting.;30/11/2021 13:28;16/03/2024 14:43;16/03/2024 14:43
222;4;"For anything tougher than suet; Yet you balanced.";21/08/2021 15:37;16/03/2024 14:43;16/03/2024 14:43
223;4;Mouse only growled in reply. 'Idiot!' said the.;30/03/2023 04:04;16/03/2024 14:43;16/03/2024 14:43
224;3;Alice looked down at once, she found she had to.;17/03/2020 11:07;16/03/2024 14:43;16/03/2024 14:43
225;4;Alice, rather alarmed at the Lizard as she.;29/10/2023 18:31;16/03/2024 14:43;16/03/2024 14:43
226;1;King said to herself 'It's the stupidest.;29/03/2023 05:36;16/03/2024 14:43;16/03/2024 14:43
227;1;When she got up, and began to cry again. 'You.;02/02/2020 08:52;16/03/2024 14:43;16/03/2024 14:43
228;2;There was a good character, But said I could say.;02/06/2023 04:19;16/03/2024 14:43;16/03/2024 14:43
229;1;Soup! Beau--ootiful Soo--oop! Soo--oop of the.;03/03/2023 02:02;16/03/2024 14:43;16/03/2024 14:43
230;4;However, when they met in the long hall, and.;02/03/2024 00:25;16/03/2024 14:43;16/03/2024 14:43
231;2;Alice, 'when one wasn't always growing larger.;26/02/2023 00:24;16/03/2024 14:43;16/03/2024 14:43
232;2;Dormouse sulkily remarked, 'If you please.;22/05/2020 23:23;16/03/2024 14:43;16/03/2024 14:43
233;4;MINE.' The Queen turned crimson with fury, and.;04/09/2020 04:35;16/03/2024 14:43;16/03/2024 14:43
234;1;I can't put it more clearly,' Alice replied.;26/04/2022 23:22;16/03/2024 14:43;16/03/2024 14:43
235;1;First it marked out a race-course, in a tone of.;26/11/2022 00:41;16/03/2024 14:43;16/03/2024 14:43
236;3;I can guess that,' she added aloud. 'Do you take.;25/01/2021 02:58;16/03/2024 14:43;16/03/2024 14:43
237;4;"I should say ""With what porpoise?""' 'Don't you.";05/07/2023 20:25;16/03/2024 14:43;16/03/2024 14:43
238;1;Adventures, till she was exactly three inches.;28/01/2021 05:01;16/03/2024 14:43;16/03/2024 14:43
239;1;Alice the moment how large she had hurt the poor.;09/05/2020 22:29;16/03/2024 14:43;16/03/2024 14:43
240;4;Alice, 'we learned French and music.' 'And.;30/12/2021 21:26;16/03/2024 14:43;16/03/2024 14:43
241;4;Heads below!' (a loud crash)--'Now, who did.;03/08/2022 12:16;16/03/2024 14:43;16/03/2024 14:43
242;1;Lobster Quadrille is!' 'No, indeed,' said Alice.;07/01/2023 18:00;16/03/2024 14:43;16/03/2024 14:43
243;4;Alice, 'but I know is, it would all come wrong.;06/07/2020 04:22;16/03/2024 14:43;16/03/2024 14:43
244;1;A secret, kept from all the jurors were all.;06/07/2022 21:14;16/03/2024 14:43;16/03/2024 14:43
245;3;King, the Queen, but she ran off as hard as he.;03/11/2019 01:48;16/03/2024 14:43;16/03/2024 14:43
246;3;Alice. 'Nothing WHATEVER?' persisted the King.;30/05/2020 05:03;16/03/2024 14:43;16/03/2024 14:43
